UserID,Total_Time
95,9936351
498,4604590
760,49814588
799,1897238
876,125868029
906,8451420
957,102196775
961,39947688
975,55499367
986,74967862
1018,15290602
1025,81844610
1031,1407150
1076,3141807
1167,59264242
1170,31221035
1176,37822153
1209,14009467
1253,63604842
1284,24156526
1291,100438906
1384,1070641
1391,64414462
1398,79504111
1417,58087450
1428,69706550
1429,78244572
1431,117191916
1450,134363203
1453,56515078
1487,3675004
1536,87423075
1557,42076822
1580,48093344
1595,68997094
1603,46315446
1609,102638381
1628,7041158
1651,74910027
1658,3086601
1730,100356127
1731,99289304
1732,44674302
1819,65465352
1856,83602206
1902,31510991
1909,5528964
1933,15828489
1994,22566354
2006,106715948
2089,5220628
2143,83270286
2153,44936347
2179,87325394
2195,35765921
2199,3485223
2206,2958870
2231,26709454
2238,80556406
2256,8926383
2278,54260873
2279,28579445
2293,5090091
2332,22433307
2335,75807868
2339,2877328
2443,4458759
2477,132378147
2493,51728033
2495,19986494
3542,109241707
3694,101559891
3709,54615709
3763,18440299
4050,82017247
4228,2141002
4312,90010712
4484,10758458
4485,421386
4487,14728411
4753,2586682
4757,28379516
4771,48648307
4784,7645959
4828,120255116
4881,14760140
4911,18407768
4968,4667490
5021,11247057
5108,120435633
5264,48631185
5323,68944123
5477,22613257
